Vardas         Pavarde        ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Egzaminas
Marius         Zukauskas      5    5    1    1    3    3    2    7    7    5    10        
Paulius        Brazinskas     4    2    4    8    6    6    10   3    10   3    4         
Tomas          Stankevicius   8    4    4    9    2    6    2    7    10   3    7         
Lukas          Zukauskas      6    4    2    2    8    3    6    10   3    4    8         
Kazys          Jankauskas     10   9    8    3    8    2    7    9    4    8    10        
Petras         Jankauskas     10   10   7    1    5    5    8    2    1    10   3         
Kazys          Brazinskas     6    9    2    2    6    8    10   9    6    2    10        
Darius         Petraitis      6    7    3    1    2    1    2    8    10   2    10        
Lukas          Jankauskas     5    4    9    5    8    5    10   1    7    10   2         
Lukas          Stankevicius   10   6    3    4    10   10   3    6    5    10   2         
Marius         Brazinskas     7    1    3    3    8    1    1    7    7    9    10        
Antanas        Zukauskas      2    9    10   7    3    10   3    4    9    7    2         
Paulius        Zukauskas      4    7    7    5    7    4    9    5    2    6    6         
Tomas          Zukauskas      8    4    9    7    4    5    3    10   3    3    7         
Paulius        Jankauskas     10   3    8    6    1    8    7    9    2    6    7         
Lukas          Brazinskas     7    9    6    6    4    8    9    5    1    10   8         
Jonas          Kavolis        9    3    2    3    7    6    1    10   7    2    3         
Petras         Jankauskas     8    6    4    7    7    6    4    3    7    6    6         
Mantas         Brazinskas     10   2    3    1    1    10   1    4    5    1    6         
Kazys          Kavolis        5    1    8    6    1    1    1    1    6    3    4         
Mantas         Kazlauskas     5    9    10   6    4    2    9    9    8    7    5         
Paulius        Kavolis        4    6    4    1    7    8    5    4    6    4    9         
Mantas         Jonaitis       6    2    9    10   5    1    8    9    3    9    5         
Jonas          Kazlauskas     6    2    6    10   7    5    5    5    5    5    6         
Marius         Zukauskas      1    5    4    1    5    5    7    5    7    3    2         
Darius         Petraitis      1    9    2    10   10   8    9    6    4    10   2         
Mantas         Stankevicius   10   8    8    3    8    2    1    3    7    4    1         
Mantas         Jankauskas     2    1    4    2    9    8    4    8    2    10   4         
Darius         Stankevicius   9    1    9    4    6    8    10   3    9    5    9         
Lukas          Brazinskas     8    10   7    1    4    10   6    5    10   9    9         
Antanas        Stankevicius   4    10   9    1    2    8    7    2    4    6    8         
Lukas          Jonaitis       5    7    4    1    2    3    6    7    5    10   6         
Antanas        Petraitis      4    7    5    3    9    6    8    3    5    3    4         
Lukas          Jonaitis       7    8    10   8    4    6    9    2    7    10   6         
Marius         Kavolis        3    8    9    1    3    3    9    4    5    6    3         
Paulius        Stankevicius   2    10   9    7    7    2    9    1    1    4    1         
Petras         Kazlauskas     3    4    1    4    6    3    6    5    7    7    7         
Darius         Kavaliauskas   9    6    3    5    8    1    7    5    4    3    3         
Petras         Jonaitis       5    4    6    4    9    2    5    2    2    5    3         
Paulius        Kavaliauskas   8    1    10   3    4    2    8    8    7    8    6         
Tomas          Jonaitis       8    2    2    10   4    4    10   10   2    3    7         
Tomas          Jonaitis       4    9    6    1    3    2    4    7    2    7    4         
Jonas          Zukauskas      1    10   7    4    3    10   3    8    7    9    6         
Lukas          Jonaitis       10   5    8    10   1    5    2    7    5    2    10        
Darius         Kazlauskas     7    5    4    2    2    2    6    9    6    8    2         
Kazys          Jonaitis       2    8    5    10   6    6    9    9    7    1    1         
Jonas          Petraitis      6    7    3    1    8    2    2    1    6    1    1         
Jonas          Kavaliauskas   8    3    10   7    6    4    10   8    6    3    2         
Antanas        Kazlauskas     1    8    8    7    10   1    1    6    2    8    6         
Kazys          Kavaliauskas   6    10   2    2    4    8    6    5    9    9    7         
Petras         Brazinskas     1    5    9    7    5    2    2    3    9    3    9         
Antanas        Kavolis        7    2    3    9    8    5    9    2    6    6    10        
Mantas         Kazlauskas     4    9    8    5    5    10   7    4    10   8    6         
Lukas          Jonaitis       9    7    10   6    7    9    2    4    4    10   1         
Petras         Kavolis        8    6    3    1    1    7    4    6    6    10   1         
Kazys          Brazinskas     2    8    3    4    10   6    2    1    4    4    8         
Antanas        Kavaliauskas   4    7    9    9    6    9    1    9    9    9    7         
Petras         Kavolis        6    4    3    2    4    7    7    10   7    6    1         
Lukas          Kazlauskas     10   10   8    3    6    4    5    2    4    1    3         
Darius         Brazinskas     2    3    8    3    5    6    3    4    4    3    6         
Lukas          Petraitis      3    6    2    4    4    9    7    1    6    9    8         
Antanas        Stankevicius   10   7    7    3    9    3    6    4    4    5    6         
Marius         Kavolis        6    4    7    3    4    9    7    9    8    2    5         
Jonas          Brazinskas     6    7    7    4    2    7    9    1    3    8    9         
Lukas          Jankauskas     6    7    3    10   7    10   3    6    4    5    6         
Jonas          Kavolis        6    8    4    6    4    7    4    10   5    4    9         
Darius         Zukauskas      1    10   5    5    3    4    6    1    2    8    3         
Petras         Kavolis        9    9    2    3    4    6    10   10   6    9    6         
Paulius        Brazinskas     5    2    2    9    10   8    3    3    3    7    6         
Mantas         Jonaitis       1    5    4    8    10   3    2    3    10   4    2         
Paulius        Jonaitis       7    1    4    8    7    9    5    6    1    4    8         
Lukas          Zukauskas      6    1    4    2    10   7    4    9    8    10   2         
Darius         Stankevicius   4    1    5    2    2    8    6    1    9    6    2         
Jonas          Petraitis      1    9    6    3    1    3    3    3    2    9    4         
Petras         Petraitis      3    7    7    2    6    4    5    5    7    10   8         
Marius         Petraitis      7    1    6    1    5    7    8    9    2    3    5         
Darius         Jonaitis       5    9    4    2    9    6    4    4    5    4    1         
Paulius        Jankauskas     6    8    10   5    6    7    3    5    6    10   5         
Jonas          Brazinskas     2    3    1    4    2    10   10   5    9    2    5         
Kazys          Stankevicius   3    8    2    3    7    4    9    6    8    4    7         
Lukas          Kavolis        10   8    2    7    6    4    3    5    10   8    5         
Lukas          Jankauskas     6    10   7    7    6    1    4    4    2    2    9         
Jonas          Kavaliauskas   6    2    5    8    9    7    8    2    6    1    1         
Marius         Brazinskas     4    8    4    4    2    7    8    8    3    5    6         
Lukas          Zukauskas      3    6    5    8    3    2    4    1    8    8    7         
Mantas         Brazinskas     2    4    5    6    3    2    9    5    2    7    1         
Jonas          Jankauskas     3    1    4    7    9    9    5    1    6    7    8         
Marius         Brazinskas     1    2    4    7    3    4    2    6    10   8    6         
Paulius        Kazlauskas     8    10   9    5    3    6    6    5    1    1    7         
Tomas          Petraitis      9    1    7    10   6    9    3    1    10   4    3         
Darius         Zukauskas      4    5    8    1    6    6    10   6    1    3    5         
Marius         Zukauskas      4    2    3    6    6    1    3    2    10   4    10        
Kazys          Jonaitis       5    7    10   8    5    9    9    7    3    4    2         
Marius         Kazlauskas     10   10   1    6    4    6    9    4    10   4    10        
Marius         Kazlauskas     3    2    9    3    7    8    6    9    2    2    6         
Marius         Petraitis      6    7    9    3    1    1    6    4    1    5    5         
Petras         Jonaitis       7    8    7    5    7    4    3    6    4    4    4         
Darius         Kazlauskas     8    8    2    10   1    8    1    2    6    5    3         
Mantas         Petraitis      1    6    2    2    1    6    4    8    2    5    1         
Petras         Jankauskas     10   1    9    9    5    1    8    6    4    1    6         
Mantas         Petraitis      4    1    10   6    4    7    1    4    2    1    3         
Antanas        Petraitis      9    7    5    1    8    2    9    10   6    9    5         
Tomas          Stankevicius   1    3    10   5    3    3    1    2    5    4    5         
Marius         Zukauskas      10   6    4    9    2    5    6    2    5    8    8         
Paulius        Kazlauskas     9    8    4    3    5    2    5    8    8    7    8         
Paulius        Stankevicius   7    2    9    1    8    6    5    2    10   2    5         
Darius         Jankauskas     2    2    5    5    7    6    6    3    2    5    1         
Mantas         Brazinskas     9    3    6    8    1    5    5    9    6    8    6         
Antanas        Zukauskas      2    4    4    7    4    7    6    6    1    7    8         
Tomas          Kavaliauskas   7    8    6    10   5    3    1    8    5    5    1         
Kazys          Kavolis        7    1    3    5    4    4    5    6    9    9    1         
Paulius        Jonaitis       8    8    5    1    7    8    4    6    9    9    7         
Darius         Jonaitis       10   8    3    8    9    4    7    1    3    9    8         
Antanas        Zukauskas      5    3    6    5    3    10   5    4    9    10   8         
Jonas          Kavaliauskas   1    2    8    3    7    7    7    4    4    7    2         
Antanas        Jankauskas     9    4    4    7    2    6    7    2    5    3    10        
Paulius        Jankauskas     5    7    8    6    8    6    3    9    10   5    3         
Darius         Brazinskas     1    8    9    7    7    1    8    1    7    9    3         
Darius         Brazinskas     7    1    8    9    5    9    9    9    1    5    1         
Mantas         Brazinskas     6    2    9    5    2    1    10   9    1    3    8         
Lukas          Stankevicius   9    9    5    7    10   6    9    3    7    10   9         
Antanas        Jonaitis       9    10   10   2    7    9    9    2    1    7    2         
Darius         Kazlauskas     9    10   3    8    9    3    4    2    7    6    2         
Kazys          Jonaitis       9    3    3    6    2    5    8    1    3    9    7         
Kazys          Brazinskas     3    8    9    3    7    5    6    9    4    5    1         
Jonas          Kazlauskas     5    7    5    5    4    6    6    10   10   7    2         
Antanas        Jonaitis       10   2    1    5    10   9    5    9    9    4    3         
Kazys          Kazlauskas     5    4    1    7    3    2    8    9    7    10   1         
Jonas          Zukauskas      10   1    2    2    5    4    2    2    1    1    9         
Lukas          Kavolis        6    1    5    4    1    3    9    8    1    10   4         
Marius         Jonaitis       4    1    8    7    10   7    8    5    6    5    7         
Kazys          Kavaliauskas   10   3    9    5    2    8    10   5    1    8    5         
Kazys          Jonaitis       5    3    1    5    2    4    5    6    9    1    6         
Jonas          Kavaliauskas   2    9    6    10   1    5    10   6    1    3    2         
Darius         Kavolis        3    4    8    4    4    10   7    1    5    9    10        
Mantas         Kavolis        8    9    1    1    8    1    5    3    2    5    5         
Antanas        Jonaitis       9    6    5    9    2    5    10   7    3    7    10        
Kazys          Kazlauskas     1    6    7    9    9    9    8    6    9    1    5         
Antanas        Jonaitis       9    8    8    2    8    1    6    6    9    3    3         
Petras         Kavaliauskas   6    5    7    2    1    1    1    6    6    9    8         
Darius         Petraitis      6    5    6    10   10   4    3    7    1    6    2         
Darius         Jonaitis       2    2    2    3    8    7    4    1    6    2    6         
Marius         Brazinskas     2    1    9    9    2    4    5    7    9    8    4         
Darius         Kazlauskas     5    5    5    7    9    1    6    4    1    9    7         
Kazys          Brazinskas     6    4    3    4    8    1    7    3    4    5    8         
Antanas        Brazinskas     10   9    7    10   10   10   5    5    4    1    1         
Darius         Kavaliauskas   7    4    4    2    5    8    8    4    7    1    4         
Paulius        Petraitis      8    6    8    6    10   10   10   5    9    3    1         
Jonas          Zukauskas      9    3    8    5    6    3    8    10   2    3    4         
Lukas          Kavolis        8    10   2    5    10   8    3    8    8    10   3         
Kazys          Jonaitis       2    9    1    9    2    7    6    3    1    10   5         
Petras         Jonaitis       6    2    5    9    9    6    1    3    3    9    5         
Kazys          Jonaitis       9    1    4    6    2    2    3    8    3    7    7         
Marius         Stankevicius   7    3    2    8    7    9    8    10   7    5    3         
Mantas         Zukauskas      6    7    7    3    7    1    3    9    5    2    9         
Lukas          Kavaliauskas   10   9    7    10   7    2    7    10   9    10   1         
Tomas          Zukauskas      7    3    10   3    4    9    6    10   2    10   4         
Antanas        Stankevicius   1    9    7    1    4    1    3    8    9    8    2         
Paulius        Jonaitis       4    4    3    6    6    6    2    7    10   8    3         
Antanas        Jankauskas     3    7    10   6    7    2    3    2    4    9    9         
Paulius        Zukauskas      5    9    5    4    4    1    9    5    10   3    6         
Kazys          Petraitis      6    5    5    3    9    7    7    10   1    3    9         
Darius         Jankauskas     3    3    6    9    10   9    6    9    7    6    2         
Jonas          Jonaitis       3    9    6    8    9    1    5    6    7    9    8         
Lukas          Zukauskas      5    5    7    2    7    6    4    2    4    4    1         
Mantas         Petraitis      9    9    4    7    8    2    3    9    5    1    10        
Lukas          Jonaitis       4    3    7    10   5    10   5    10   8    6    10        
Tomas          Stankevicius   4    10   2    9    8    1    4    6    4    8    6         
Marius         Kazlauskas     1    2    3    3    7    8    7    5    3    4    8         
Paulius        Petraitis      9    3    2    2    6    6    4    2    6    5    6         
Tomas          Kavolis        8    5    1    3    3    7    1    7    8    3    3         
Mantas         Kavolis        6    3    8    4    2    7    8    4    8    6    4         
Marius         Kazlauskas     3    8    10   6    10   8    9    6    1    8    4         
Tomas          Stankevicius   6    9    10   4    1    10   8    9    9    5    10        
Darius         Jankauskas     5    7    9    1    3    2    2    2    4    3    2         
Lukas          Kavolis        1    6    7    5    4    8    5    10   2    9    10        
Mantas         Kavolis        5    9    6    8    3    2    7    10   9    9    6         
Mantas         Zukauskas      6    1    1    8    1    8    6    8    8    10   1         
Darius         Jonaitis       3    7    1    6    1    10   9    10   5    1    2         
Marius         Jankauskas     8    2    3    10   7    3    6    9    8    10   10        
Petras         Kavolis        1    9    1    8    7    10   5    5    7    3    6         
Petras         Kavolis        6    10   4    8    4    7    10   9    3    6    7         
Lukas          Kazlauskas     3    3    1    2    5    3    2    1    7    7    2         
Lukas          Petraitis      7    5    7    8    2    5    5    1    6    4    7         
Lukas          Kazlauskas     1    6    1    2    1    6    5    6    8    1    8         
Petras         Brazinskas     6    5    5    1    7    8    1    9    6    9    1         
Mantas         Stankevicius   1    6    6    5    2    3    6    8    6    1    6         
Antanas        Kavaliauskas   8    8    4    8    10   2    10   3    5    4    8         
Kazys          Kavolis        10   5    7    5    7    5    5    8    5    2    8         
Petras         Kavolis        9    1    1    5    5    2    8    3    7    2    4         
Kazys          Jankauskas     7    3    5    6    6    3    1    4    5    8    3         
Lukas          Petraitis      4    3    4    7    8    1    3    7    1    8    10        
Marius         Zukauskas      10   8    2    7    2    6    9    8    6    3    3         
Petras         Brazinskas     7    2    7    2    4    1    7    3    1    3    9         
Paulius        Stankevicius   4    2    5    2    4    6    4    9    5    4    10        
Paulius        Jonaitis       2    1    1    3    1    6    4    2    4    5    7         
Petras         Brazinskas     4    1    5    9    5    9    4    2    1    7    9         
Antanas        Jonaitis       10   5    6    1    4    5    6    3    7    4    8         
Darius         Kazlauskas     3    4    9    8    6    5    6    6    8    2    7         
Tomas          Zukauskas      10   5    9    1    3    1    5    10   8    8    4         
Mantas         Jankauskas     5    7    7    9    10   2    10   6    6    1    7         
Paulius        Stankevicius   6    8    4    6    3    8    5    6    8    6    10        
Jonas          Jankauskas     9    8    1    1    3    5    4    6    6    3    7         
Antanas        Brazinskas     1    10   9    2    8    8    9    7    10   4    9         
Tomas          Stankevicius   6    6    10   9    8    5    4    7    5    6    3         
Paulius        Brazinskas     4    2    7    6    9    6    2    10   8    7    7         
Lukas          Kavolis        7    10   4    4    10   4    3    10   5    8    3         
Kazys          Jankauskas     5    3    1    5    8    2    4    9    5    3    2         
Darius         Petraitis      7    9    6    6    2    7    9    1    5    3    9         
Darius         Kavaliauskas   6    8    8    8    1    10   10   5    9    8    10        
Paulius        Petraitis      9    8    8    8    1    1    1    6    8    7    4         
Lukas          Stankevicius   1    2    3    4    1    4    1    6    10   3    9         
Petras         Kavaliauskas   9    2    7    4    6    7    3    4    6    7    10        
Lukas          Kavaliauskas   4    8    1    9    7    1    8    10   8    7    3         
Petras         Kavaliauskas   5    3    6    10   6    5    2    2    2    7    4         
Antanas        Brazinskas     3    2    9    3    10   8    7    5    3    9    7         
Kazys          Zukauskas      9    7    2    3    9    1    9    4    1    6    6         
Kazys          Jonaitis       1    5    9    9    1    5    9    3    2    10   8         
Kazys          Brazinskas     5    8    3    5    1    5    1    4    3    5    3         
Darius         Stankevicius   5    2    5    4    9    1    3    5    7    5    9         
Kazys          Zukauskas      2    6    10   9    10   6    8    7    10   9    8         
Petras         Kazlauskas     6    5    9    6    6    5    5    1    9    4    4         
Mantas         Stankevicius   6    5    2    10   4    1    3    1    5    9    9         
Darius         Stankevicius   7    7    5    1    6    2    1    1    2    6    6         
Darius         Kavolis        4    5    5    5    5    3    2    10   1    8    3         
Kazys          Kavolis        7    3    8    5    10   1    7    6    10   9    4         
Kazys          Kavolis        7    3    1    8    1    8    9    4    7    1    9         
Paulius        Jonaitis       7    9    1    6    6    6    9    3    9    3    7         
Kazys          Zukauskas      10   6    4    4    6    6    7    10   9    9    5         
Antanas        Zukauskas      6    8    7    4    8    2    7    10   1    3    10        
Tomas          Kavolis        9    1    8    1    3    6    8    1    4    9    3         
Darius         Kavolis        9    7    1    9    5    1    10   6    8    1    8         
Paulius        Petraitis      9    8    3    8    6    10   9    8    6    5    2         
Tomas          Brazinskas     3    5    6    5    5    4    3    2    4    5    5         
Darius         Petraitis      5    7    8    10   5    9    1    7    10   4    5         
Marius         Jankauskas     1    2    9    7    10   4    2    10   6    7    1         
Tomas          Petraitis      3    6    1    4    4    10   8    10   2    10   5         
Petras         Kavaliauskas   9    2    2    8    1    1    6    6    3    9    8         
Jonas          Stankevicius   8    2    1    5    1    1    2    9    3    7    1         
Tomas          Brazinskas     1    6    4    7    3    4    4    4    2    9    3         
Tomas          Petraitis      8    9    5    5    8    3    7    5    10   5    4         
Kazys          Jankauskas     9    5    8    2    6    4    1    4    2    1    1         
Tomas          Jonaitis       2    1    7    3    3    6    10   9    7    4    4         
Jonas          Petraitis      8    9    3    9    5    5    9    1    8    10   8         
Paulius        Petraitis      5    5    9    3    7    10   5    6    1    4    4         
Darius         Zukauskas      8    9    5    5    2    6    1    6    1    1    9         
Jonas          Jankauskas     9    2    4    5    8    9    7    1    6    8    4         
Jonas          Stankevicius   9    1    1    3    7    5    2    9    6    7    9         
Mantas         Kavolis        2    3    1    3    1    6    3    7    1    7    3         
Lukas          Brazinskas     6    6    7    10   4    6    9    3    4    2    6         
Tomas          Stankevicius   8    4    10   4    3    5    10   7    8    3    6         
Jonas          Jonaitis       8    3    1    9    3    4    2    9    9    1    1         
Antanas        Kavolis        6    2    5    1    7    1    2    7    5    5    7         
Darius         Kavolis        7    8    7    1    2    1    2    4    8    4    2         
Tomas          Kazlauskas     8    7    3    1    8    10   1    3    6    1    9         
Lukas          Zukauskas      10   8    6    10   5    7    5    7    4    8    5         
Mantas         Kavolis        7    4    5    4    4    1    10   5    1    8    1         
Paulius        Jonaitis       9    1    9    6    4    2    8    7    9    9    3         
Paulius        Jankauskas     9    10   6    8    5    9    5    1    10   8    1         
Petras         Stankevicius   2    10   1    9    5    9    5    10   2    9    2         
Mantas         Jankauskas     2    10   7    7    3    10   1    6    10   9    2         
Mantas         Kavolis        3    7    2    1    8    6    3    3    2    10   3         
Antanas        Jonaitis       10   1    7    7    3    1    8    3    9    3    5         
Tomas          Brazinskas     1    10   3    3    5    6    10   3    3    4    3         
Darius         Brazinskas     6    2    4    3    1    8    6    9    8    6    7         
Tomas          Zukauskas      3    10   10   2    5    1    4    3    8    7    7         
Paulius        Kavolis        7    1    2    3    8    9    9    3    2    7    10        
Kazys          Petraitis      9    7    4    2    10   9    2    8    2    9    9         
Darius         Jonaitis       10   9    2    7    2    10   9    7    4    3    6         
Darius         Brazinskas     3    2    7    3    10   8    1    8    7    2    3         
Paulius        Jankauskas     3    8    1    8    8    6    3    2    6    10   4         
Kazys          Kavolis        8    4    9    3    1    1    5    7    4    10   10        
Lukas          Jonaitis       4    10   9    10   5    9    7    6    10   4    7         
Lukas          Zukauskas      6    8    5    6    3    5    9    4    1    9    6         
Petras         Kavaliauskas   5    7    6    6    1    6    10   3    1    10   5         
Marius         Brazinskas     9    3    7    7    9    4    7    8    4    1    10        
Paulius        Kavolis        3    7    2    10   10   4    10   5    6    8    4         
Mantas         Petraitis      6    2    8    4    2    8    10   10   4    1    3         
Paulius        Kavolis        2    4    10   9    4    6    1    3    8    6    10        
Petras         Kavaliauskas   9    8    4    10   2    3    9    8    5    9    10        
Darius         Stankevicius   6    3    1    4    7    7    3    7    9    7    9         
Lukas          Jankauskas     10   2    1    7    4    6    1    5    3    4    8         
Kazys          Stankevicius   3    10   3    9    5    7    4    6    5    1    9         
Jonas          Zukauskas      8    9    10   2    9    6    1    1    6    1    6         
Kazys          Kavaliauskas   10   10   5    9    5    4    4    4    8    7    1         
Petras         Kazlauskas     5    9    7    1    2    9    9    9    3    5    5         
Petras         Zukauskas      8    2    4    2    5    10   1    1    3    7    8         
Mantas         Stankevicius   8    3    1    7    9    3    4    6    9    8    9         
Paulius        Brazinskas     3    10   7    4    4    2    8    10   3    2    9         
Tomas          Jankauskas     5    2    1    9    10   7    5    2    9    10   10        
Petras         Jonaitis       5    8    6    8    1    3    10   10   2    1    5         
Antanas        Jonaitis       1    3    2    3    8    4    8    6    9    3    8         
Lukas          Kavaliauskas   4    1    10   4    1    10   4    10   6    10   4         
Lukas          Petraitis      3    10   1    8    7    3    4    7    4    1    5         
Paulius        Jonaitis       8    2    10   7    5    1    10   1    3    6    3         
Jonas          Zukauskas      4    4    6    4    6    6    9    6    3    1    10        
Darius         Kazlauskas     6    10   5    2    1    7    1    1    2    5    5         
Petras         Kavolis        1    1    3    9    5    8    10   5    1    8    10        
Antanas        Jankauskas     10   10   2    2    8    5    8    5    10   2    10        
Jonas          Kazlauskas     7    2    8    5    5    5    5    2    6    7    4         
Petras         Petraitis      6    4    4    6    5    2    7    4    4    9    1         
Antanas        Zukauskas      3    2    5    7    3    10   5    8    10   10   3         
Kazys          Zukauskas      7    3    2    1    8    7    5    3    4    2    9         
Mantas         Brazinskas     8    10   10   1    6    10   10   1    8    10   5         
Darius         Petraitis      1    4    10   8    1    2    5    1    6    9    6         
Petras         Jankauskas     9    3    7    8    5    2    5    1    1    9    9         
Paulius        Kavolis        8    7    10   2    6    3    2    7    5    9    2         
Petras         Brazinskas     5    2    10   6    6    6    6    5    8    8    5         
Antanas        Stankevicius   5    3    7    5    7    9    3    4    6    7    4         
Paulius        Kazlauskas     3    2    8    4    3    2    2    7    6    6    2         
Darius         Kazlauskas     10   6    9    7    2    8    6    3    3    1    6         
Jonas          Kavaliauskas   10   6    6    2    6    9    3    3    4    1    7         
Petras         Petraitis      9    2    1    10   5    7    3    6    2    9    7         
Darius         Jankauskas     9    8    5    4    6    10   4    9    7    1    7         
Lukas          Brazinskas     3    7    1    4    10   9    2    5    7    8    6         
Marius         Kavolis        3    4    1    9    1    9    9    6    10   5    9         
Darius         Zukauskas      2    10   5    5    8    7    8    8    4    4    6         
Lukas          Jankauskas     3    10   8    9    6    9    2    4    1    4    1         
Jonas          Zukauskas      10   2    1    6    8    8    3    7    1    7    8         
Marius         Zukauskas      2    5    9    3    6    2    5    9    3    6    10        
Jonas          Jankauskas     1    9    8    9    2    9    8    5    3    10   6         
Lukas          Zukauskas      10   9    8    3    5    4    8    4    5    3    3         
Lukas          Kavolis        8    2    8    3    8    5    7    5    4    5    10        
Kazys          Kavaliauskas   10   8    7    1    6    3    3    3    6    8    3         
Kazys          Petraitis      10   5    6    4    8    3    4    10   2    7    5         
Marius         Jankauskas     5    9    3    5    6    9    2    7    6    3    4         
Marius         Jankauskas     2    9    6    2    7    3    6    1    9    8    10        
Mantas         Jonaitis       10   7    3    2    10   3    2    1    4    10   9         
Marius         Kavolis        5    7    10   5    4    2    6    8    8    6    3         
Mantas         Kavolis        6    1    5    6    9    7    10   5    3    7    3         
Lukas          Kavaliauskas   6    1    2    1    1    1    2    7    7    10   2         
Tomas          Kavaliauskas   7    10   8    8    7    9    7    10   9    2    5         
Mantas         Stankevicius   8    3    3    7    10   8    2    6    8    8    7         
Antanas        Brazinskas     8    6    4    8    9    6    5    10   7    5    6         
Paulius        Stankevicius   8    9    8    5    7    9    6    7    10   1    7         
Mantas         Jankauskas     7    10   6    3    7    4    9    5    4    7    7         
Petras         Stankevicius   4    7    6    10   7    3    9    6    10   8    8         
Jonas          Kavolis        7    1    1    5    6    3    7    4    7    8    8         
Mantas         Jankauskas     9    5    3    4    7    6    10   2    3    4    5         
Antanas        Brazinskas     10   7    6    8    7    3    8    10   6    2    8         
Tomas          Jankauskas     5    9    8    3    9    10   4    3    7    4    9         
Marius         Zukauskas      7    10   9    5    5    7    7    3    3    7    2         
Antanas        Stankevicius   5    8    7    5    7    1    4    8    3    9    1         
Jonas          Kavolis        9    9    2    4    7    5    9    10   9    9    9         
Petras         Stankevicius   2    5    4    1    10   10   3    7    7    8    1         
Kazys          Petraitis      7    3    1    6    5    2    7    6    8    3    3         
Paulius        Zukauskas      8    3    10   4    2    3    5    8    9    3    9         
Darius         Kazlauskas     10   6    4    3    1    9    10   7    10   2    8         
Paulius        Kavaliauskas   5    3    5    7    8    1    6    1    7    4    9         
Jonas          Jonaitis       8    1    9    4    5    10   4    7    3    3    4         
Antanas        Jankauskas     4    1    10   8    9    8    6    6    7    4    1         
Petras         Kazlauskas     6    8    1    2    9    6    9    6    2    9    3         
Kazys          Jankauskas     8    6    2    9    8    4    10   6    3    10   1         
Antanas        Stankevicius   9    2    7    4    7    6    2    7    3    5    6         
Paulius        Kazlauskas     10   2    9    2    2    7    8    1    8    3    4         
Petras         Zukauskas      2    7    5    2    3    8    10   9    9    3    6         
Lukas          Jankauskas     9    2    4    9    2    10   6    2    9    2    2         
Lukas          Jankauskas     6    3    3    7    4    3    1    1    5    5    9         
Paulius        Petraitis      3    1    5    9    6    1    5    8    8    5    8         
Jonas          Kavolis        5    2    7    9    7    6    1    6    4    6    3         
Mantas         Brazinskas     6    1    2    1    5    6    3    6    9    4    3         
Paulius        Kazlauskas     7    5    7    6    4    2    4    1    7    3    4         
Antanas        Kazlauskas     9    4    6    3    8    1    6    9    4    7    10        
Paulius        Kavaliauskas   3    9    9    4    8    4    4    8    5    8    7         
Kazys          Jonaitis       8    9    9    10   7    10   2    2    10   1    10        
Paulius        Zukauskas      3    5    2    7    9    8    9    10   5    3    9         
Antanas        Stankevicius   1    8    1    10   1    6    5    9    5    7    3         
Jonas          Kazlauskas     7    6    7    9    3    4    3    7    2    9    1         
Antanas        Brazinskas     8    8    7    4    9    7    8    1    2    7    10        
Lukas          Kazlauskas     7    7    10   6    4    7    4    7    10   1    5         
Paulius        Kavaliauskas   3    6    6    10   9    7    8    9    4    2    10        
Marius         Jonaitis       5    5    2    5    1    7    9    6    4    5    2         
Jonas          Kazlauskas     1    8    1    8    10   3    5    9    7    10   3         
Petras         Kavolis        5    10   6    4    3    3    3    4    8    2    1         
Marius         Kazlauskas     6    3    2    1    5    7    3    9    7    5    4         
Paulius        Zukauskas      2    7    9    3    3    3    4    4    4    5    7         
Antanas        Kavaliauskas   7    3    1    5    10   7    9    9    3    5    9         
Darius         Kavolis        3    5    7    6    8    8    6    8    5    7    7         
Lukas          Zukauskas      1    8    7    6    5    5    3    8    1    8    3         
Jonas          Kazlauskas     3    7    1    7    5    6    9    2    4    8    4         
Kazys          Jankauskas     7    6    6    7    2    8    3    2    8    9    5         
Paulius        Kavolis        2    3    6    4    4    4    5    5    6    4    7         
Tomas          Petraitis      5    10   9    5    1    10   8    6    7    2    2         
Lukas          Petraitis      6    2    2    3    4    10   1    1    9    5    3         
Marius         Brazinskas     10   6    10   6    2    4    4    1    3    3    4         
Mantas         Petraitis      10   4    7    2    9    9    3    1    8    4    5         
Paulius        Jonaitis       5    9    7    10   5    1    10   8    3    3    7         
Petras         Jonaitis       7    10   4    1    8    10   8    5    4    5    9         
Petras         Stankevicius   1    7    8    6    3    2    7    9    2    6    10        
Jonas          Kazlauskas     8    4    7    6    2    6    3    8    3    7    6         
Antanas        Petraitis      3    10   7    7    3    7    5    9    4    9    7         
Petras         Petraitis      9    6    9    6    3    5    10   8    8    1    4         
Antanas        Brazinskas     2    9    10   6    7    4    6    2    6    7    4         
Mantas         Jonaitis       4    4    1    4    4    8    5    3    5    10   3         
Antanas        Kavaliauskas   3    3    5    8    6    7    8    2    4    3    6         
Paulius        Zukauskas      1    9    3    4    9    2    4    2    9    7    7         
Jonas          Jankauskas     10   8    5    2    10   10   9    6    9    7    5         
Tomas          Stankevicius   3    8    2    7    10   4    4    1    9    2    10        
Darius         Zukauskas      7    1    3    1    6    8    5    9    7    6    5         
Paulius        Kavolis        8    5    10   8    2    2    4    6    1    9    8         
Petras         Brazinskas     3    9    2    5    7    5    3    2    5    7    3         
